instance_id,repo,language_group,route,arm,candidate_count,candidate_span_coverage,span_recall@1,file_recall@5,span_recall@5,span_all@5,span_recall@10,span_mrr,retrieval_ms,rerank_ms,stage_sum_ms,rerank_recorded_cost_usd,failed_calls
gin-gonic__gin-3820,gin-gonic/gin,Go,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.106365613639355,0.0,58.106365613639355,0.0,0
gohugoio__hugo-12171,gohugoio/hugo,Go,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.1130860447884,0.0,541.1130860447884,0.0,0
gohugoio__hugo-12343,gohugoio/hugo,Go,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.54340151697397,0.0,136.54340151697397,0.0,0
gohugoio__hugo-12448,gohugoio/hugo,Go,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.5906213968992,0.0,346.5906213968992,0.0,0
gohugoio__hugo-12562,gohugoio/hugo,Go,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.39241410046816,0.0,332.39241410046816,0.0,0
gohugoio__hugo-12579,gohugoio/hugo,Go,bm25,unreranked,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.7635333687067,0.0,112.7635333687067,0.0,0
hashicorp__terraform-34814,hashicorp/terraform,Go,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.05540443211794,0.0,506.05540443211794,0.0,0
hashicorp__terraform-35611,hashicorp/terraform,Go,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.070786587894,0.0,1145.070786587894,0.0,0
jqlang__jq-2235,jqlang/jq,C++/C,bm25,unreranked,100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.171549774706364,0.0,18.171549774706364,0.0,0
jqlang__jq-2598,jqlang/jq,C++/C,bm25,unreranked,100,0.25,0.0,0.3333333333333333,0.25,0.0,0.25,0.25,35.875651985406876,0.0,35.875651985406876,0.0,0
jqlang__jq-2658,jqlang/jq,C++/C,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.5,21.90421335399151,0.0,21.90421335399151,0.0,0
jqlang__jq-2728,jqlang/jq,C++/C,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.5,24.53212719410658,0.0,24.53212719410658,0.0,0
jqlang__jq-2750,jqlang/jq,C++/C,bm25,unreranked,100,1.0,0.0,0.5,0.5,0.0,1.0,0.5,24.897653609514236,0.0,24.897653609514236,0.0,0
matplotlib__matplotlib-13989,matplotlib/matplotlib,Python,bm25,unreranked,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,338.41904904693365,0.0,338.41904904693365,0.0,0
matplotlib__matplotlib-14623,matplotlib/matplotlib,Python,bm25,unreranked,100,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0196078431372549,449.5539730414748,0.0,449.5539730414748,0.0,0
matplotlib__matplotlib-20488,matplotlib/matplotlib,Python,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,714.8650418967009,0.0,714.8650418967009,0.0,0
matplotlib__matplotlib-20676,matplotlib/matplotlib,Python,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.2140659913421,0.0,583.2140659913421,0.0,0
micropython__micropython-10095,micropython/micropython,C++/C,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0126914307475,0.0,320.0126914307475,0.0,0
micropython__micropython-13039,micropython/micropython,C++/C,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.25,2052.8754740953445,0.0,2052.8754740953445,0.0,0
micropython__micropython-13569,micropython/micropython,C++/C,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.2977173700929,0.0,617.2977173700929,0.0,0
micropython__micropython-15898,micropython/micropython,C++/C,bm25,unreranked,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,351.0567992925644,0.0,351.0567992925644,0.0,0
nushell__nushell-12901,nushell/nushell,Rust,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.8097443506122,0.0,576.8097443506122,0.0,0
nushell__nushell-12950,nushell/nushell,Rust,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.9795949533582,0.0,347.9795949533582,0.0,0
nushell__nushell-13605,nushell/nushell,Rust,bm25,unreranked,100,1.0,0.0,1.0,0.0,0.0,0.5,0.125,441.82142429053783,0.0,441.82142429053783,0.0,0
nushell__nushell-13831,nushell/nushell,Rust,bm25,unreranked,100,0.5,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,812.173143029213,0.0,812.173143029213,0.0,0
preactjs__preact-2757,preactjs/preact,TypeScript/JavaScript,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,12.174160219728947,0.0,12.174160219728947,0.0,0
preactjs__preact-2896,preactjs/preact,TypeScript/JavaScript,bm25,unreranked,100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.324524603784084,0.0,15.324524603784084,0.0,0
preactjs__preact-2927,preactjs/preact,TypeScript/JavaScript,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,5.577312782406807,0.0,5.577312782406807,0.0,0
preactjs__preact-3567,preactjs/preact,TypeScript/JavaScript,bm25,unreranked,100,0.2,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,15.259060077369213,0.0,15.259060077369213,0.0,0
prometheus__prometheus-10633,prometheus/prometheus,Go,bm25,unreranked,100,1.0,0.0,0.5,0.0,0.0,1.0,0.16666666666666666,178.91772370785475,0.0,178.91772370785475,0.0,0
prometheus__prometheus-11859,prometheus/prometheus,Go,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.2,1816.9835060834885,0.0,1816.9835060834885,0.0,0
prometheus__prometheus-14861,prometheus/prometheus,Go,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.8964412137866,0.0,224.8964412137866,0.0,0
prometheus__prometheus-15142,prometheus/prometheus,Go,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.49651291966438,0.0,163.49651291966438,0.0,0
pydata__xarray-2905,pydata/xarray,Python,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.09212636947632,0.0,136.09212636947632,0.0,0
pydata__xarray-3151,pydata/xarray,Python,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,104.54829875379801,0.0,104.54829875379801,0.0,0
pydata__xarray-3305,pydata/xarray,Python,bm25,unreranked,100,1.0,0.0,0.5,0.0,0.0,0.0,0.016666666666666666,78.63814011216164,0.0,78.63814011216164,0.0,0
pydata__xarray-6992,pydata/xarray,Python,bm25,unreranked,100,0.6666666666666666,0.0,0.5,0.0,0.0,0.3333333333333333,0.125,139.49314504861832,0.0,139.49314504861832,0.0,0
redis__redis-10068,redis/redis,C++/C,bm25,unreranked,100,1.0,0.0,1.0,0.0,0.0,0.0,0.047619047619047616,589.6358275786042,0.0,589.6358275786042,0.0,0
redis__redis-10095,redis/redis,C++/C,bm25,unreranked,100,1.0,0.0,1.0,0.0,0.0,0.0,0.025,127.84262374043465,0.0,127.84262374043465,0.0,0
redis__redis-11631,redis/redis,C++/C,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.6233258545399,0.0,790.6233258545399,0.0,0
redis__redis-11734,redis/redis,C++/C,bm25,unreranked,100,1.0,0.5,1.0,0.5,0.0,1.0,1.0,204.1086908429861,0.0,204.1086908429861,0.0,0
redis__redis-13338,redis/redis,C++/C,bm25,unreranked,100,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1423.8906782120466,0.0,1423.8906782120466,0.0,0
scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,Python,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.2,223.30125607550144,0.0,223.30125607550144,0.0,0
scikit-learn__scikit-learn-10844,scikit-learn/scikit-learn,Python,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.5,289.09533098340034,0.0,289.09533098340034,0.0,0
scikit-learn__scikit-learn-10908,scikit-learn/scikit-learn,Python,bm25,unreranked,100,1.0,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,229.69220858067274,0.0,229.69220858067274,0.0,0
