instance_id,repo,language_group,bm25_span_coverage@50,bm25_span_coverage@100,bm25_span_coverage@200,bm25_span_coverage@500,bm25_span_coverage@1000,grep_candidate_count,grep_span_coverage,union100_span_coverage,planner_ms,bm25/bm25/span_recall@1,bm25/bm25/span_recall@5,bm25/bm25/span_recall@10,bm25/bm25/file_recall@5,bm25/bm25/span_mrr,bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@1,bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@5,bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@10,bm25/Qwen/Qwen3-Reranker-0.6B/file_recall@5,bm25/Qwen/Qwen3-Reranker-0.6B/span_mrr,bm25/Qwen/Qwen3-Reranker-4B/span_recall@1,bm25/Qwen/Qwen3-Reranker-4B/span_recall@5,bm25/Qwen/Qwen3-Reranker-4B/span_recall@10,bm25/Qwen/Qwen3-Reranker-4B/file_recall@5,bm25/Qwen/Qwen3-Reranker-4B/span_mrr,bm25/typesafe/jev-1.13/span_recall@1,bm25/typesafe/jev-1.13/span_recall@5,bm25/typesafe/jev-1.13/span_recall@10,bm25/typesafe/jev-1.13/file_recall@5,bm25/typesafe/jev-1.13/span_mrr,grep/grep/span_recall@1,grep/grep/span_recall@5,grep/grep/span_recall@10,grep/grep/file_recall@5,grep/grep/span_mrr,grep/Qwen/Qwen3-Reranker-0.6B/span_recall@1,grep/Qwen/Qwen3-Reranker-0.6B/span_recall@5,grep/Qwen/Qwen3-Reranker-0.6B/span_recall@10,grep/Qwen/Qwen3-Reranker-0.6B/file_recall@5,grep/Qwen/Qwen3-Reranker-0.6B/span_mrr,grep/Qwen/Qwen3-Reranker-4B/span_recall@1,grep/Qwen/Qwen3-Reranker-4B/span_recall@5,grep/Qwen/Qwen3-Reranker-4B/span_recall@10,grep/Qwen/Qwen3-Reranker-4B/file_recall@5,grep/Qwen/Qwen3-Reranker-4B/span_mrr,grep/typesafe/jev-1.13/span_recall@1,grep/typesafe/jev-1.13/span_recall@5,grep/typesafe/jev-1.13/span_recall@10,grep/typesafe/jev-1.13/file_recall@5,grep/typesafe/jev-1.13/span_mrr,base_aligned/bm25/candidate_span_coverage,base_aligned/bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@5,base_aligned/bm25/Qwen/Qwen3-Reranker-4B/span_recall@5,base_aligned/bm25/typesafe/jev-1.13/span_recall@5,base_aligned/grep/candidate_span_coverage,base_aligned/grep/Qwen/Qwen3-Reranker-0.6B/span_recall@5,base_aligned/grep/Qwen/Qwen3-Reranker-4B/span_recall@5,base_aligned/grep/typesafe/jev-1.13/span_recall@5
axios__axios-5085,axios/axios,TypeScript/JavaScript,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,3337.0045349001884,0.0,0.0,0.0,0.5,0.023809523809523808,0.0,0.0,1.0,0.5,0.1111111111111111,0.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
axios__axios-6539,axios/axios,TypeScript/JavaScript,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,9945.933799259365,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
babel__babel-13928,babel/babel,TypeScript/JavaScript,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,5970.74970882386,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.16666666666666666,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
babel__babel-14532,babel/babel,TypeScript/JavaScript,0.0,0.0,0.0,0.0,1.0,5,1.0,1.0,4537.385735660791,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,0.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
babel__babel-15445,babel/babel,TypeScript/JavaScript,0.0,1.0,1.0,1.0,1.0,4,1.0,1.0,4355.8459132909775,0.0,0.0,0.0,0.0,0.012987012987012988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
babel__babel-15649,babel/babel,TypeScript/JavaScript,0.0,0.0,0.0,0.0,1.0,7,1.0,1.0,3953.993547707796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.0,1.0,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
caddyserver__caddy-4943,caddyserver/caddy,Go,0.0,1.0,1.0,1.0,1.0,18,1.0,1.0,3710.5979481711984,0.0,0.0,0.0,0.0,0.011494252873563218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
caddyserver__caddy-5404,caddyserver/caddy,Go,1.0,1.0,1.0,1.0,1.0,4,0.5,1.0,3571.7432172968984,0.0,0.0,0.5,1.0,0.1,0.0,0.0,0.5,1.0,0.16666666666666666,0.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.3333333333333333,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
caddyserver__caddy-5761,caddyserver/caddy,Go,1.0,1.0,1.0,1.0,1.0,9,1.0,1.0,4143.788241781294,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
caddyserver__caddy-5870,caddyserver/caddy,Go,0.0,1.0,1.0,1.0,1.0,6,0.0,1.0,3787.7177726477385,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
